RESID,SS,PreySS,PredSS,PPratio,ExoticSS,Richness,Evenness,NatStock,Nnatstock,IntrodUndes,Fishkills,FishPres,CatchRate,FishSize,CatchVar,AnglerSatis,FreqTourn,RatioFishing,SPP1comp,LargeFish,StockedFish,PopDen,SizeStruc,Condition,GRate,NatMort,R_age1,R_adult,CRA,BAS,PIK,PER,CAT,SUN,MOR,TRT,SAL
ID38,3,1,1,1,1,2,2,1,4,1,4,3,3,4,4,4,1,5,4,3,4,3,4,4,4,3,3,3,0,0,0,0,0,0,0,1,0
WY31,3,1,1,1,1,1,1,1,5,1,1,3,4,3,3,3,1,5,4,3,4,3,3,3,2,3,3,3,0,0,0,0,0,0,0,1,0
WY66,3,1,1,1,1,1,1,4,1,1,1,3,3,4,3,4,1,4,4,4,4,3,4,4,4,3,5,4,0,0,0,0,0,0,0,1,0
WY79,3,1,1,1,1,1,1,1,5,1,2,2,3,4,3,3,1,5,3,3,4,3,3,4,4,3,3,3,0,0,0,0,0,0,0,1,0
WY58,4,1,1,1,2,2,2,1,5,3,1,3,3,4,3,3,1,3,4,4,4,4,4,4,4,2,3,3,0,0,0,0,0,0,0,1,0
NV29,1,5,2,2,5,1,1,1,2,1,1,1,1,3,3,1,1,5,2,2,4,1,2,3,3,1,3,3,0,0,0,1,0,0,0,0,0
IL65,3,5,2,1,1,1,1,1.6,1,1,1,1,1,4,1,1,1,5,1,2,1,2,3,4,4,3,2,2,0,1,0,0,0,0,0,0,0
PA22,3,5,2,2,5,4,2,1,2,5,1,4,2,3,3,3,4,3,1,3,1,2,4,4,4,3,1,1,0,1,0,0,0,0,0,0,0
TX186,3,5,2,4,4,4,2,4,4,1,5,3,2,4,5,2,2,2,1,4,3,3,4,5,5,4,3,2,0,1,0,0,0,0,0,0,0
WI237,3,5,2,2,1,3,1,4,1,1,4,4,3,3,3,3,3,3,1,2,1,4,4,4,3,3,3,3,0,1,0,0,0,0,0,0,0
GA48,4,5,2,4,4,3,3,3,1,3,3,4,3,3,4,3,3,3,2,3,1,2,4,3,1,3,3,4,0,1,0,0,0,0,0,0,0
IN64,4,5,2,2,5,3,1,1,1,5,3,4,3,2,4,2,2,3,2,2,1,1,4,4,4,4,1,1,0,1,0,0,0,0,0,0,0
NE27,4,5,2,5,4,4,1,4,4,5,3,5,3,2,3,3,4,3,1,3,1,2,4,5,4,4,2,2,0,1,0,0,0,0,0,0,0
TX142,4,5,2,2,1,3,2,1,1,1,5,3,3,3,3,3,2,4,4,3,1,2,3,3,4,4,3,3,0,1,0,0,0,0,0,0,0
ID4,5,5,2,5,1,3,2,1,3,3,3,2,2,5,5,2,1,5,4,4,4,2,5,5,5,4,1,2,0,0,0,0,0,0,0,1,0
ID81,5,5,2,5,4,3,3,1,2,3,1,2,3,5,3,3,3,3,4,4,4,2,5,5,5,3,1,3,0,0,0,0,0,0,0,1,0
PA15,5,5,2,2,4,4,1,3,5,1,4,3,2,3,3,2,5,2,1,3,1,3,1,2,2,3,3,3,0,0,0,0,0,0,0,0,0
CA165,2,4,2,3,1,1,1,3,1,1,1,2,2,2,2,2,1,1,3,1,1,2,2,2,2,3,2,2,0,0,0,0,0,0,0,1,0
CA68,2,4,2,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,5,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0
CT60,2,4,2,2,1,2,3,1,1,1,3,2,3,3,3.8,3.8,1,3,2,2,1,3,3,3,3,2.7,3.1,2.9,0,1,0,0,0,0,0,0,0
IL51,2,4,2,4,4,3,2,4,3,2,2,2,2,2,4,2,3,2,2,4,1,3,4,4,4,5,1,5,0,0,0,0,1,0,0,0,0
IL55,2,4,2,4,4,3,2,2,1,2,1,2,2,3,4,2,4,3,2,2,1,2,2,3,2,4,2,2,1,0,0,0,0,0,0,0,0
IL77,2,4,2,4,3,2,2,3,3,2,1,2,2,3,3,2,2,3,2,2,1,3,2,2,2,2,2,4,1,0,0,0,0,0,0,0,0
IN8,2,4,2,2,4,2,2,1,1,3,4,2,2,2,2,2,2,3,3,2,1,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0
KS74,2,4,2,2,5,2,2,4,4,5,1,3,3,2,3,2,1,2,3,3,4,3,3,3,3,3,3,3,0,0,0,0,1,0,0,0,0
MO3,2,4,2,2,3,4,2,1,1,3,1,4,3,3,4,3,1,4,3,4,1,4,3,3,2,3,2,3,0,0,0,0,1,0,0,0,0
MO38,2,4,2,2,4,3,4,1,4,2,2,2,2,2,2,2,3,3,1,3,1,1,4,3,2,3,2,2,0,1,0,0,0,0,0,0,0
MO50,2,4,2,2,4,3,2,3,1,1,2,3,2,2,3,3,2,3,2,3,1,2,4,3,3,4,2,2,0,1,0,0,0,0,0,0,0
OH44,2,4,2,4,4,2,2,4,2,4,2,3,2,3,3,3,3,4,2,3,1,2,4,3,2,3,2,1,0,1,0,0,0,0,0,0,0
TX130,2,4,2,4,4,2,2,1,1,1,1,1,3,3,3,3,1,2,3,2,1,4,2,3,3,3,3,2,1,0,0,0,0,0,0,0,0
CO166,3,4,2,3,4,3,2,1,4,1,1,2,2,3,3,2,1,4,4,3,4,2,2,2,2,4,1.1,1,0,0,0,0,0,0,0,1,0
IL48,3,4,2,4,4,2,2,4,2,2,1,1,2,3,4,2,2,2,2,3,1,3,3,4,4,4,2,3,0,0,0,0,1,0,0,0,0
IN10,3,4,2,2,4,3,2,3,1,3,3,3,3,3,3,3,2,3,2,2.4,1,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0
IN30,3,4,2,4,4,3,2,3,2,3,3,4,2,2,3,3,2,3,3,2,1,2,3,3,3,4,2,2,0,1,0,0,0,0,0,0,0
IN6,3,4,2,2,1,3,2,3,1,1,3,3,3,3,3,3,2,3,1,1.1,1,3,3,3,4,3,3,3,1,0,0,0,0,0,0,0,0
KY48,3,4,2,4,2,3,3,4,4,2,2,5,3,2,4,3,4,3,2,1,1,3,2,4,3,4,2,2,0,1,0,0,0,0,0,0,0
MD3,3,4,2,2,2,2,2,2,2,3,1,2,2,2,3,3,3,3,3,3,1,3,3,4,4,3,3,3,0,1,0,0,0,0,0,0,0
